sample_id	cross	diapause	larval_decision	pupal_decision	sex	pupal_weight_g	days_to_pupation	adult_weight_g	days_to_eclosion	cabinet
nr1	NN	0	0	0	1	0.1092	27	0.0372	15	1
nr2	NN	0	0	0	1	0.1242	27	0.0425	15	1
nr3	NN	0	0	0	1	0.1237	27	0.0523	15	1
nr4	NN	0	1	1	1	0.1464	73	0.0566	28	1
nr5	NN	0	0	0	2	0.1541	33	0.0711	14	2
nr6	NN	0	0	0	2	0.1499	30	0.065	15	1
nr7	NN	0	1	1	1	0.1463	94	NA	27	1
nr8	NN	0	1	0	1	0.1508	81	0.0576	14	1
nr9	NN	0	1	0	2	0.1963	70	0.1013	15	1
nr10	NN	0	1	0	1	0.1627	76	0.0567	15	1
nr11	NN	0	1	0	1	0.1603	70	0.0557	15	1
nr12	NN	0	1	1	1	0.1799	119	NA	27	2
nr13	DD	1	0	0	1	0.1324	32	0.0537	14	1
nr14	DD	1	0	0	1	0.1287	31	0.0531	14	1
nr15	DD	1	1	0	2	0.1695	99	0.0812	18	1
nr16	DD	1	0	0	1	0.1363	25	0.0476	14	1
nr17	DD	1	1	0	2	0.1877	46	0.0882	14	1
nr18	DD	1	0	0	1	0.1307	25	0.0532	14	1
nr19	DD	1	1	0	2	0.1708	42	0.0937	14	1
nr20	DD	1	0	0	1	0.1266	26	0.0337	16	1
nr21	DD	1	0	0	2	0.1504	37	0.0656	14	1
nr22	DD	1	0	0	1	0.1072	26	0.0318	15	1
nr23	DD	1	1	0	1	0.1236	44	0.0399	16	3
nr24	DD	1	0	0	1	0.1209	23	0.039	15	1
nr25	DD	1	0	0	2	0.1709	27	0.0776	15	3
nr26	DD	1	1	0	2	0.1628	87	0.0757	18	1
nr27	DD	1	1	0	2	0.185	100	0.0877	16	2
nr28	DD	1	0	0	1	0.1004	26	0.0405	15	2
nr29	DD	1	0	0	1	0.1289	25	0.049	14	2
nr30	DD	1	1	0	1	0.1508	42	0.0607	16	2
nr31	DD	1	1	0	2	0.0802	48	0.0855	14	2
nr32	NN	0	0	0	1	0.1145	24	0.0513	13	1
nr33	DD	1	1	0	1	0.1158	46	0.0544	14	1
nr34	DD	1	1	0	1	0.1566	71	0.0523	16	1
nr35	DD	1	1	0	1	0.1859	99	0.0617	14	1
nr36	DD	1	0	0	1	0.117	28	0.0362	16	2
nr37	DD	1	1	0	2	0.1892	87	0.0961	15	3
nr38	DD	1	1	0	1	0.1518	42	0.059	10	2
nr39	DD	1	0	0	1	0.1343	26	0.0473	14	3
nr40	NN	0	1	0	2	0.1715	54	0.0931	14	3
nr41	DD	1	1	0	2	0.1846	81	0.0876	15	2
nr42	DD	1	1	0	2	0.1776	47	0.09	13	3
nr43	DD	1	1	0	1	0.1523	89	0.0497	22	2
nr44	NN	0	0	0	2	0.1561	29	0.0694	15	3
nr45	NN	0	1	1	1	0.1491	87	NA	27	3
nr46	DD	1	1	0	1	0.1527	99	0.0979	19	2
nr47	DD	1	1	0	2	0.1559	41	0.0898	16	3
nr48	DD	1	0	0	2	0.1732	36	0.08	16	3
nr49	DD	1	1	0	1	0.1451	42	0.0493	14	2
nr50	DD	1	1	0	2	0.168	41	0.0695	14	2
nr51	DD	1	1	0	2	0.1869	101	0.0815	17	2
nr52	NN	0	1	0	1	0.1461	62	0.0469	15	3
nr53	NN	0	1	0	2	0.1868	94	0.0772	22	3
nr54	NN	0	0	0	2	0.1355	34	0.0597	14	2
nr55	NN	0	1	0	2	0.1789	49	0.0965	15	3
nr56	DD	1	0	0	1	0.1063	32	0.05	14	2
nr57	DD	1	0	0	1	0.1151	31	0.0479	16	3
nr58	DD	1	0	0	1	0.1127	34	0.0373	15	3
nr59	NN	0	0	0	2	0.1508	31	0.0689	14	2
nr60	NN	0	1	0	1	0.1447	99	0.0467	13	3
nr61	NN	0	0	0	2	0.1398	24	0.0605	15	3
nr62	NN	0	1	1	1	0.1568	88	0.0585	30	3
nr63	NN	0	1	0	2	0.1937	57	0.0935	14	3
nr64	NN	0	0	0	2	0.1495	31	0.0622	14	2
nr65	NN	0	1	0	1	0.0981	55	0.0288	18	2
nr66	NN	0	0	0	1	0.1196	26	0.0515	14	2
nr67	DD	1	0	0	2	0.158	26	0.0719	15	3
nr68	DD	1	1	0	1	0.1567	58	0.0593	14	3
nr69	DD	1	1	0	1	0.1809	87	0.076	15	3
nr70	DD	1	0	0	2	0.1411	30	0.0646	13	3
nr71	NN	0	1	0	2	0.1714	79	0.0837	19	3
nr72	DD	1	1	0	2	0.1825	43	0.0949	15	3
nr73	NN	0	1	1	2	0.1885	93	0.09	27	3
nr74	DD	1	0	0	2	0.1398	28	0.062	13	3
nr75	DD	1	0	0	2	0.145	27	0.076	14	3
nr76	NN	0	0	0	2	0.1395	34	0.0611	17	3
nr77	DD	1	0	0	1	0.1327	26	0.0553	13	2
nr78	NN	0	1	0	2	0.1383	75	0.0528	16	2
nr79	NN	0	1	0	2	0.1649	69	0.0695	14	1
nr80	NN	0	0	0	1	0.1431	39	0.0475	16	1
nr81	DD	1	0	0	2	0.1488	38	0.0624	13	3
nr82	NN	0	1	0	1	0.1765	66	0.0351	24	1
nr83	NN	0	0	0	2	0.152	27	0.0662	13	2
nr84	NN	0	0	0	2	0.1443	30	0.0726	15	2
nr85	NN	0	1	0	1	0.1546	69	0.0622	15	2
nr86	NN	0	0	0	1	0.1393	31	0.0558	14	2
nr87	NN	0	0	0	1	0.1129	29	0.0343	15	3
nr88	NN	0	1	0	2	0.1719	57	0.0815	15	2
nr89	NN	0	0	0	2	0.1226	31	0.0477	14	3
nr90	NN	0	0	0	2	0.128	27	0.0516	15	2
nr91	NN	0	0	0	1	0.1247	24	0.0615	13	2
nr92	NN	0	0	0	1	0.1468	40	0.0703	15	1
nr93	NN	0	1	1	1	0.154	73	0.0613	26	2
nr94	NN	0	0	0	2	0.1443	37	0.0669	14	1
